cluster_id,cluster_name,n_cases,n_incident,n_near_miss,incident_rate,n_actions,top_cause_themes (tf-idf phrases),top_action_themes (tf-idf phrases),priority_score
0,AI Monitoring & Decision-Support Errors,31,31,0,1.0,265,"ai, sensor, model, operators, did, operator, governance, logic, lacked, validation, workload, minor","ai, add, model, logic, implement, sensor, audits, training, operator, comparing, audits comparing, introduce",0.8789062494404055
3,Line Work: Pressure/Vapor Release during Maintenance/Transfer,30,13,17,0.43333333333333335,389,"isolation, valve, pressure, did, verification, header, line, work, digital, field, maintenance, operations","isolation, add, verification, line, implement, require, update, chemical, conduct, mandatory, valves, digital",0.6792424239944367
2,Office Electrical / Ergonomics / Minor Workplace Hazards,9,7,2,0.7777777777777778,204,"power, employee, electrical, cord, hazards, office, remote, awareness, cords, equipment, desk, remote work","remote, office, remote work, wfh, provide, add, employees, electrical, screen, devices, work, email",0.49711371484972916
6,HR / Privacy Exposure (Remote/Hybrid Work),12,10,2,0.8333333333333334,133,"hr, file, chat, documents, sharing, files, sensitive, hr classified, classified, project, handling, document","hr, classified, hr classified, file, sensitive, privacy, files, document, sharing, implement, collaboration, data",0.4856060601464876
4,Field Safety: Falls / Confined Space / Contractor Work,21,10,11,0.47619047619047616,212,"work, ladder, fall, worker, space, task, complete, hazard, zone, lighting, inadequate, area","add, work, confined, confined space, implement, space, elevated, mandatory, require, install, contractor, introduce",0.4481441082285062
5,Cyber-Physical Control Disruption (Unauthorized Access/Overrides),12,2,10,0.16666666666666666,264,"control, engineering, workstation, dosing, cyber, access, engineering workstation, authentication, contractor, configuration, simops, remote","access, add, engineering, implement, privilege, badge, contractor, monitoring, risk, training, workflow, cyber",0.2468690813459879
1,Stored Energy / Isolation Breaches (Hydraulic/Pneumatic),20,0,20,0.0,190,"energy, hydraulic, isolation, maintenance, digital, pressure, pneumatic, bleed, team, allowed, physical, multi energy","energy, isolation, hydraulic, multi, multi energy, add, pneumatic, actuator, verification, implement, require, update",0.15566406249523712
